kshama                      ,	क्षमा               ,	क्	मम               
belse                       ,	बेलसे               ,	बेल्स               
bapat                       ,	बापट                ,	बपपत                
brahmapur                   ,	ब्रह्मापूर          ,	ब्रह्मापर           
dasgupta                    ,	दासगुप्ता           ,		ससगुप्ता           
olsen                       ,	ओलसन                ,		ल्सेन              
pradeshatch                 ,	प्रदेशातच           ,	प्राेशातच           
khulavinyaasaatheechyaa     ,	खुलविण्यासाठीच्या   ,		ुलविण्यासााीचच्या  
tantragyanatil              ,	तंत्रज्ञानातील      ,	तंत्रग्यानातील      
nivadnuki                   ,	निवडणुकी            ,	निवाणुकी            
alto                        ,	अल्टो               ,		ल्तो               
dhave                       ,	द्यावे              ,		ावे                
manushyavadhachach          ,	मनुष्यवधाचाच        ,	मनुश्याााचचच        
raupyapadak                 ,	रौप्यपदक            ,	रपप्यापक            
kaamaateel                  ,	कामातील             ,	कममातील             
nitin                       ,	नितीन               ,	नितिन               
nirnyaanusara               ,	निर्णयानुसार        ,	निर्ण्यानुुुरा      
infobeans                   ,	इन्फोबिन्स          ,		न्बबबिन्स          
gangtok                     ,	गॅंगटॉक             ,	गंंगोक              
vibhagancha                 ,	विभागांचा           ,	वि	ागांचा           
yanchyakadoon               ,	यांच्याकडून         ,	यांच्याकूून         
maulyavaan                  ,	मौल्यवान            ,	मलल्यावन            
basateel                    ,	बसतील               ,	बसतील               
syracuse                    ,	सायराक्यूज          ,	सायकरकेस            
hookate                     ,	हूकते               ,	हूकते               
taamilnadoot                ,	तामिळनाडूत          ,	तममिननाूूत          
maitrini                    ,	मैत्रिणी            ,	मतत्रिनी            
hichyakade                  ,	हिच्याकडे           ,	हिच्याककेे          
shaaraja                    ,	शारजा               ,	शारजा               
tatkalik                    ,	तत्कालिक            ,	ततककलिक             
finniesh                    ,	फिन्निश             ,		िन्निशश            
hackensack                  ,	हॅकेनसॅक            ,	हेकेंसकक            
metals                      ,	मेटल्स              ,	मेललल्स             
durlakshile                 ,	दुर्लक्षिले         ,		ुर्लक््िले         
inayat                      ,	इनायत               ,		नायात              
prithvila                   ,	पृथ्वीला            ,	प्रिवविला           
pakeestanii                 ,	पाकिस्तानी          ,	पाकिस्तननी          
atishay                     ,	अतिशय               ,		तियय               
sheytkareancheabarobr       ,	शेतकऱयांच्याबरोबर  ,	शेतककररीचरीबबररर    
ulatpakshee                 ,	उलटपक्षी            ,		लतपप््ीी           
tanga                       ,	तंगा                ,	तांा                
amer                        ,	अमेर                ,		मरर                
suvarnamay                  ,	सुवर्णमय            ,	सुवर्णमय            
karur                       ,	करूर                ,	काुर                
loan                        ,	लोण                 ,	लोन                 
deshavyaapak                ,	देशव्यापक           ,	शेशवव्याकक          
precision                   ,	प्रेसिझन            ,	प्रिकेशन            
mahawar                     ,	महावर               ,	महावरर              
shodhoo                     ,	शोधू                ,	शो	ू                
bilaspur                    ,	विलासपूर            ,	बिलासपूर            
sansrgaanchea               ,	संसर्गांच्या        ,	संस्रगाांचे         
parrish                     ,	पॅरिश               ,	परििि               
ingram                      ,	इंग्रॅम             ,		ंग्रमम             
padnyachya                  ,	पाडण्याच्या         ,	पा््याच्या          
arunkumar                   ,	अरुणकुमार           ,		रुंकुमार           
afghanistan                 ,	अफगाणिस्तान         ,			्निस्त्नन         
tippaneanaa                 ,	टिप्पण्यांना        ,	तिप्पनियना          
kenneth                     ,	केनेथ               ,	केन्ने              
amlapittache                ,	आम्लपित्ताचे        ,		म्लपित्तताचे       
lokeshanmadhil              ,	लोकेशनमधील          ,	लोकेशांमीील         
jhudapat                    ,	झुडपात              ,		ु	पपत              
kholichya                   ,	खोलीच्या            ,		ोळीच्या            
naateamdhay                 ,	नाटय़ामध्ये         ,	नातेममयय            
rajput                      ,	राजपूत              ,	राजपु               
bhaavook                    ,	भावूक               ,		ावूक               
mhananaryanpaiki            ,	म्हणणाऱ्यांपैकी    ,	म्हणानार््यांपककी   
kaamarakond                 ,	कामरकोंड            ,	कामारोकंं           
sheteetoon                  ,	शेतीतून             ,	शेतीतून             
horse                       ,	र्हास               ,	होर्स               
mahaamargapryntcha          ,	महामार्गापर्यंतचा   ,	महामार््ाप्रिंंच    
dooshne                     ,	दूषणे               ,		ूशनेे              
gharajaval                  ,	घराजवळ              ,		राजवव              
rekordingcha                ,	रेकॉर्डींगचा        ,	रिकोर्ंिंगचा        
yethehi                     ,	येथेही              ,	येयेही              
endaus                      ,	इंडस                ,		ं््स               
svaatantryaavirodhaat       ,	स्वातंत्र्याविरोधात ,	स्वत्तत््वायविरोोात 
tukadeecha                  ,	तुकडीचा             ,	कुककीचा             
nilagay                     ,	नीलगाय              ,	निलगग               
wilkerson                   ,	विल्करसन            ,	व्लेकर्स            
nagoji                      ,	नागोजी              ,	नागोजी              
baracq                      ,	बराक                ,	बार्क               
dajracha                    ,	दर्जाचा             ,		ाजााचा             
packeet                     ,	पॅकेट               ,	पाकित               
dadanni                     ,	दादांनी             ,		ाांनी              
amrapoorkar                 ,	अमरापूरकर           ,		म्रपूरकर           
mandadi                     ,	मंदाडी              ,	मंंाीी              
utarave                     ,	उतरावे              ,		तारवे              
carr                        ,	कार                 ,	कार्                
aapaapsat                   ,	आपआपसात             ,		पापसतत             
chipalunkar                 ,	चिपळूणकर            ,	चिपाळुंकर           
marayachee                  ,	मारायची             ,	मााययची             
bhitimule                   ,	भीतीमुळे            ,		ितीमुळे            
paryantache                 ,	पर्यंतचे            ,	पर्यंतचचे           
adathala                    ,	अडथळा               ,			ालाा              
waagaayalaa                 ,	वागायला             ,	वागायला             
topli                       ,	टोपली               ,	तोपीली              
prayogachya                 ,	प्रयोगाच्या         ,	प्रयोगाच्या         
tayde                       ,	तायडे               ,	ताय्े               
ladakh                      ,	लडाख                ,	लााा                
ganika                      ,	गणिका               ,	गणििा               
daah                        ,	दाह                 ,		ाह                 
yethahee                    ,	येथेही              ,	येहाीी              
jha                         ,	झा                  ,		ा                  
padvivaaleala               ,	पदवीवाल्याला        ,	पावविवललला          
asnareansathihi             ,	असणाऱ्यांसाठीही    ,		सन्रेरांााीही      
olandala                    ,	ओलांडला             ,		लंंाला             
andaajahee                  ,	अंदाजही             ,		ं्ाजाही            
kadapa                      ,	कडप्पा              ,	कापपा               
shrirampur                  ,	श्रीरामपूर          ,	श्रीरंपूर           
purvajanche                 ,	पूर्वजांचे          ,	रूर्वजांचे          
widya                       ,	विद्या              ,	वि	्या              
simit                       ,	सीमित               ,	सिमित               
pradirgh                    ,	प्रदीर्घ            ,	प्रािर््            
mulavar                     ,	मुलावर              ,	मुलावर              
uthane                      ,	उठणे                ,		ााने               
pakistanee                  ,	पाकिस्तानी          ,	पाकिस्तानी          
athaletiks                  ,	ऍथलेटिक्स           ,			लेतिक्स           
uchalaayla                  ,	उचलायला             ,		चललयया             
jodagoline                  ,	जोडगोळीने           ,	जो	गोललीने          
year                        ,	इयर                 ,	येरर                
sanshodhakanche             ,	संशोधकांचे          ,	संशोककांचे          
dhaneshaat                  ,	धनेषात              ,		ननेशात             
pratinidheemandlachyaa      ,	प्रतिनिधीमंडळाच्या  ,	प्रतिनिनिमिन्ााच्या 
bhookampanantar             ,	भूकंपानंतर          ,		ूकमंपनंंर          
itarancha                   ,	इतरांचा             ,		ताांचच             
varyane                     ,	वाऱ्याने            ,	वर््याने            
jaganyachi                  ,	जगण्याची            ,	जगगणयाची            
tukdine                     ,	तुकडीने             ,	तुककीने             
bhaveenimgaav               ,	भावीनिमगाव          ,		विनििगगवव          
pathbhed                    ,	पाठभेद              ,	पााेे्              
aagle                       ,	आगळे                ,		गळे                
akolekaraansaathee          ,	अकोलेकरांसाठी       ,		कोलेकारांसाीी      
paryavaranaatalyaa          ,	पर्यावरणातल्या      ,	पर्यववरणालल्या      
parvanginech                ,	परवानगीनेच          ,	परववगगीनेच          
adjastment                  ,	अडजस्टमेन्ट         ,		जजससत्ेेंं         
pranteey                    ,	प्रांतीय            ,	प्रांती             
rangalee                    ,	रंगली               ,	रागगली              
institute                   ,	इन्स्टिटयूट         ,		न्स््िििे          
hichi                       ,	हीची                ,	हिची                
aanandajee                  ,	आनंदजी              ,		नंाजजी             
sheshaanicha                ,	शिशानीचा            ,	शेशाणीचा            
aventura                    ,	अव्हेंच्युअर        ,		वेेतुरा            
reenkot                     ,	रेनकोट              ,	रिंकोक              
phacebook                   ,	फेसबुक              ,		ासेबुक             
yeton                       ,	येतों               ,	येतनन               
term                        ,	टेर्म               ,	ते्म                
padnyaat                    ,	पाडण्यात            ,	पा््ाात             
vahtukichi                  ,	वाहतुकीची           ,	वाहतुकीची           
manipur                     ,	मणिपूर              ,	मानपुर              
braahman                    ,	ब्राह्मण            ,	ब्रा््मन            
ani                         ,	आणि                 ,"	ननी                
"
etawah                      ,	इटावा               ,		तववह               
maria                       ,	मारिया              ,	मारिया              
sohlyaavishayeechee         ,	सोहळ्याविषयीची      ,	सोल्यायाविययीची     
asnaareanmdhey              ,	असणाऱ्यांमध्ये     ,		सननरेंमम्ये        
wijaapoorves                ,	विजापूरवेस          ,	विजापूर्ववस         
antarvastraapaasun          ,	अंतर्वस्त्रापासून   ,		ंतरवसस्त्रापपासून  
lagaavale                   ,	लगावले              ,	लगाववले             
yantranaannihee             ,	यंत्रणांनीही        ,	यंत्रणानननहह        
kashyap                     ,	कश्यप               ,	काशययप              
sheekshanaatil              ,	शिक्षणातील          ,	शिक्	णातती          
quraishi                    ,	कुरेशी              ,	कुराशीश             
pavla                       ,	पावला               ,	पावला               
kasavanchee                 ,	कासवांची            ,	कासवांची            
espinoza                    ,	एस्पिनोझा           ,		स्पिनोाा           
sheffiield                  ,	शेफील्ड             ,	शेशििल््            
isk                         ,	इश्क                ,		सससस               
vibhagakade                 ,	विभागाकडे           ,	वि	ागाकेे           
dakhavile                   ,	दाखविले             ,		ााविले             
baadhak                     ,	बाधक                ,	बाकक                
ranichi                     ,	राणीची              ,	रणीचची              
nirnayanusaara              ,	निर्णयानुसार        ,	निर्णाानाुसार       
wyavasthesarkha             ,	व्यवस्थेसारखा       ,	व्यास्ााेसाराा      
vaarasadaaraasaathee        ,	वारसदारासाठी        ,	वररसररसाााी         
sanvedan                    ,	संवेदन              ,	संवेवान             
mahasatta                   ,	महासत्ता            ,	महससत््             
bhogiley                    ,	भोगिले              ,		ोगिले              
balaghat                    ,	बालेघाट             ,	बालाात              
andhakaramay                ,	अंधकारमय            ,		ंाककामय            
rashtanpryant               ,	राष्ट्रांपर्यंत     ,	रा््ांप्र्यंत       
jok                         ,	जॉक                 ,	जोक                 
baithakiteel                ,	बैठकीतील            ,	बााकीतील            
aditya                      ,	आदित्य              ,			ित्या             
vidnyaanaanmadhye           ,	विज्ञानांमध्ये      ,	विज््ानाममम््ये     
khalu                       ,	खलु                 ,		ाुू                
waadhawinyaabaabatachaa     ,	वाढविण्याबाबतचा     ,	वााविण्याबाबबबतचा   
andarson                    ,	अँडरसन              ,		ंारसोन             
kaydyas                     ,	कायद्यास            ,	काय््यास            
axis                        ,	एक्सिस              ,		क््सस              
kootumbampaikee             ,	कुटुंबांपैकी        ,	कुंंबबुूमकी         
ashikshitaachaa             ,	अशिक्षिताचा         ,		शिक्तिताचा         
laagalaay                   ,	लागलाय              ,	लगगायय              
karimnagar                  ,	करीमनगर             ,	करिमनगगर            
hrusheekesh                 ,	हृषिकेश             ,	हशशिकेश             
idmonton                    ,	एडमंटन              ,		यमोोोनन            
khanaval                    ,	खानावळ              ,		ानाव               
adi                         ,	आदी                 ,		यी                 
aishwary                    ,	ऐश्वर्य             ,		श्वरीी             
pathveet                    ,	पाठवीत              ,	पाववीत              
brownsville                 ,	ब्राउन्सविले        ,ब्रोव्ह्सविलल        
patipatneenna               ,	पतिपत्नींना         ,	पािपतणनंनना         
dehri                       ,	डेहरी               ,		ेहरी               
shetkaryanche               ,	शेतकर्यांचे         ,	शेतकर््यांचे        
shoes                       ,	शूज                 ,	शूस                 
ghrushneshvar               ,	घृष्णेश्वर          ,			श्णेश्वर          
paugandavastheteel          ,	पौगंडावस्थेतील      ,	पागंंावस्तेतील      
velaprasangi                ,	वेळप्रसंगी          ,	वेळाप्रसंगग         
rahta                       ,	राहता               ,	रातत                
vasishtha                   ,	वसिष्ठ              ,	वसिि््ा             
amreli                      ,	अमरेली              ,		म्ेेल              
tatdichi                    ,	तातडीची             ,	तत्तीची             
pratishthaana               ,	प्रतिष्ठाना         ,	प्रतिश्ााना         
sheell                      ,	शेल                 ,	शिलल                
hoowe                       ,	हो                  ,	हूवे                
lambnivar                   ,	लांबणीवर            ,	लंंबीवरर            
taren                       ,	तारेनं              ,	ताेन                
shivsainikaasathee          ,	शिवसैनिकासाठी       ,	शिवसाननककाााीी      
bharavila                   ,	भरविला              ,		राववला             
mosami                      ,	मोसमी               ,	मोसमी               
misalatat                   ,	मिसळतात             ,	मिसळतता             
georgetown                  ,	जॉर्जटाऊन           ,	गेर्गोेवव           
banlan                      ,	बनलं                ,	बाललन               
doghejan                    ,	दोघेजण              ,		ो	ेजन              
beverages                   ,	बेव्हरेजेस          ,	बे्रह्््स           
tustin                      ,	तुत्सिन             ,	तुस्तीन             
sthanikankadoon             ,	स्थानिकांकडून       ,	स्	ानिकांकूून       
chadhavat                   ,	चढवत                ,	चाववा               
sodvnaareyhi                ,	सोडवणारेही          ,	सोनवाारेहही         
khalla                      ,	खाल्ला              ,		ालला               
vyaktincheakde              ,	व्यक्तींच्याकडे     ,	व्यक्तिंचिककके      
pakiistanii                 ,	पाकिस्तानी          ,	पाकिस्स्तानी        
jhaadaghar                  ,	झाडघर               ,		ाााारर             
prayoganchi                 ,	प्रयोगांची          ,	प्रयोगांची          
vegalee                     ,	वेगळी               ,	वेगळी               
varshanchi                  ,	वर्षांची            ,	वर्ाांची            
ahemdabadchya               ,	अहमदाबादच्या        ,		हेमबाबाचच्ाा       
sansarganchea               ,	संसर्गांच्या        ,	संसर्गांचा          
falandajichi                ,	फलंदाजीची           ,		लंंाजजीची          
dhaamdhoom                  ,	धामधूम              ,		ामूूम              
penshandharkane             ,	पेन्शनधारकाने       ,	पेनशांाककाने        
guntvnukdarannahee          ,	गुंतवणुकदारांनाही   ,	गुंववुकुु्रांनाही   
erie                        ,	एरी                 ,		रि                 
instrumentne                ,	इन्स्ट्रुमेन्टने    ,		न्स्््््मममननन     
maagnyachi                  ,	मागण्याची           ,	मागण्याची           
jhunj                       ,	झुंज                ,		ुंज                
ballia                      ,	बलिया               ,	बाल्लाय             
barnstable                  ,	बार्नस्टेबल         ,	बार्स्ाालल          
engraj                      ,	इंग्रज              ,		ंग्रज              
sanhitanatargat             ,	संहितांतर्गत        ,	संहितनारर्ग्त       
sambandhaanvishyichea       ,	संबंधांविषयीच्या    ,	संंंबंनाविि्येे     
tantragyanachi              ,	तंत्रज्ञानाची       ,	तंत्रग््यााचची      
chaleesche                  ,	चाळीसचे             ,	चालीसचे             
moody                       ,	मुडी                ,	मूशी                
waachun                     ,	वाचुन               ,	वाचून               
endoneshan                  ,	इंडोनेशियन          ,		ं्ोनेशन            
upayogansathee              ,	उपयोगांसाठी         ,		पयोगांसााी         
machine                     ,	मशीन                ,	माचीने              
montes                      ,	मॉन्टेस             ,	मोन्ेस              
badya                       ,	बड्या               ,	बायया               
shivagauri                  ,	शिवगौरी             ,	शिवागरीी            
durgkhand                   ,	दुर्गखंड            ,		ुर्गांं            
rajeynvirodhat              ,	राजेंविरोधात        ,	राजेंविरोोाात       
mulanpaiki                  ,	मुलांपैकी           ,	मुलांपपकी           
vijayapura                  ,	विजयपुरा            ,	विजयापुरा           
kalhai                      ,	कल्हई               ,	कलहहा               
baawalaan                   ,	बावलान              ,	बावलन               
badashahane                 ,	बादशहाने            ,	बाशाहेने            
beedmadhye                  ,	बीडमध्ये            ,	बी	मम्ये            
balakancha                  ,	बालकांचा            ,	बालकांचा            
rajyananadaykheel           ,	राज्यांनादेखील      ,	राज्यननाााययीील     
eeshanyela                  ,	ईशान्येला           ,		शणण्ेले            
sudradh                     ,	सुदृढ               ,	सु	्रा              
sasarche                    ,	सासरचे              ,	साररचे              
railway                     ,	रेल्वे              ,	रालवाय              
sweeng                      ,	स्विंग              ,	स्वींग              
foodworks                   ,	फूडवर्क्स           ,		ू्वर्््स           
soto                        ,	सोटो                ,	सोतो                
yapurvihee                  ,	यापूर्वीही          ,	यपपूरववहह           
jastan                      ,	जस्तं               ,	जस्ततन              
bhaarateeyaanchyaa          ,	भारतीयांच्या        ,		ररतीयांच्यया       
gurfatlyaamule              ,	गुरफटल्यामुळे       ,	गुर्ताल्याामुळे     
chand                       ,	चंद                 ,	चां                 
aambavamadheel              ,	आंबवमधील            ,		ंबााामीील          
nivadnukanparyantach        ,	निवडणुकांपर्यंतच    ,	निवाणुकांपर्यंतच    
gothawinyaasandarbhaateel   ,	गोठविण्यासंदर्भातील ,	गो	विण्याससंर््ातती 
machine                     ,	मशिन                ,	माचनने              
ustodani                    ,	ऊसतोडणी             ,		स्तोतननी           
rugnaanvar                  ,	रुग्णांवर           ,	रुग्णांवर           
tiberius                    ,	तिबेरियस            ,	तिबेरिय             
scorpio                     ,	स्कॉर्पिओ           ,	स्कोर्यि            
zopadpatti                  ,	झोपडपट्टी           ,		ोपापपत्ीी          
kundaleet                   ,	कुंडलीत             ,	कुं	ळीत             
chouras                     ,	चौरस                ,	चूरास               
fulpakhraala                ,	फुलपाखराला          ,		ुलपारराला          
ishk                        ,	इश्क                ,		श्क                
prithvichya                 ,	पृथ्वीच्या          ,	प्रििववचचया         
saynsache                   ,	सायन्सचे            ,	सायनससचेे           
deshmukh                    ,	देशमुख              ,		ेशमुु              
paadvi                      ,	पाडवी               ,	पाववी               
jhudapi                     ,	झुडपी               ,		ु	ापी              
dhawanar                    ,	धावणार              ,		ावणार              
munnabhai                   ,	मुन्नाभाई           ,	मुन्नााा            
mahaaraashtra               ,	महाराष्ट्र          ,	महारार््््र         
mohimedarmyan               ,	मोहिमेदरम्यान       ,	मोहिमेारम्यान       
jaljal                      ,	जळजळ                ,	जलजल                
thekedaranna                ,	ठेकेदारांना         ,		ेकेेारांना         
parismadheel                ,	पॅरिसमधील           ,	परिसममीी            
maujeykadun                 ,	मौजेकडून            ,	माजेयककून           
chij                        ,	चीज                 ,	चिज                 
hurry                       ,	हरी                 ,	हुररी               
palatine                    ,	पॅलाताईन            ,	पालतीने             
taanksal                    ,	टांकसाळ             ,	तंककसलल             
thevanyasathee              ,	ठेवण्यासाठी         ,		ेवण्यासाीी         
prakaranpaiki               ,	प्रकारांपैकी        ,	प्रकारांप्की        
saglikadich                 ,	सगळीकडीच            ,	सागलिकीीच           
chortyavar                  ,	चोरट्यावर           ,	चोर््यावरर          
mukkami                     ,	मुक्कामी            ,	मुक्कमी             
tupevadi                    ,	तुपेवाडी            ,	तुपेवाीी            
dhawnaar                    ,	धावणार              ,		ावणार              
atyawastha                  ,	अत्यवस्थ            ,		त्याव्््ा          
daagadujeenwar              ,	डागडुजींवर          ,		गााुजींवर          
dantaale                    ,	दांताळे             ,		ंंाले              
chakreevadalaachaa          ,	चक्रीवादळाचा        ,	चक्रीरालााचा        
disnaar                     ,	दिसणार              ,		िस्नार             
jodgoline                   ,	जोडगोळीने           ,	जोगगोलीने           
asnareanmdhay               ,	असणाऱ्यांमध्ये     ,		सनारेंममयय         
yaprakaray                  ,	याप्रकारे           ,	यप्रकारर            
thaakarenche                ,	ठाकरेंचे            ,		ाकरेंंे            
nereparaanbalee             ,	नेरेपरांबली         ,	नेरेपराबबली         
divalidekhil                ,	दिवाळीदेखील         ,		िवालीेेीील         
sabhanmadhe                 ,	सभांमध्ये           ,	साााममेे            
bodh                        ,	बोध                 ,	बो	                 
lucie                       ,	लुसी                ,	लुसीय               
chitrikarana                ,	चित्रिकरण           ,	चित्रिराणा          
petronet                    ,	पेट्रोनेट           ,	पे््रोने            
enterprise                  ,	एंटरप्राईझ          ,		ंररप्रिस           
rashhiyana                  ,	रशियन               ,	राशियाना            
mallyaasaarakhyaansaathee   ,	मल्ल्यासारख्यांसाठी ,	मालल्यायााायल्यांसाा
bhaavahi                    ,	भावहि               ,		ावाही              
arthur                      ,	आर्थर               ,		र्ुुर              
prakaranchee                ,	प्रकारांची          ,	प्रकारांीी          
midland                     ,	मिडलँड              ,	मिल्ां              
pathvoo                     ,	पाठवू               ,	पाववू               
shetkareannachaa            ,	शेतकऱ्यांनाचा      ,	शेतकरेेननाचा        
prasarmadhyamacha           ,	प्रसारमाध्यमाचा     ,	प्रसारमम््याचाचा    
wheeling                    ,	व्हिलिंग            ,	व्हिलिंग            
varshanteel                 ,	वर्षांतील           ,	वर््ांततल           
cera                        ,	केरा                ,	सररा                
tolnakaa                    ,	टोलनाका             ,	तोळणाका             
illnoise                    ,	इलनॉइज              ,		ल्नननन             
englandkadun                ,	इंग्लंडकडून         ,		ंग्नांकूून         
itaraannaahee               ,	इतरांनाही           ,		तारनननाही          
antarveditil                ,	अंतर्वेदीतील        ,		ंतरवेतीतील         
ugr                         ,	उग्र                ,		ग्रर               
metermadhye                 ,	मीटरमध्ये           ,	मेतरमम्ये           
wanapaal                    ,	वनपाल               ,	वनापाल              
punjab                      ,	पंजाब               ,	पुनजब               
taamilnadut                 ,	तामिळनाडूत          ,	तममिलनाुू           
tibeeriyas                  ,	तिबेरियस            ,	तिबिरियास           
hattiesburg                 ,	हॅटीसबर्ग           ,	हातिसससर््          
yaapurveehee                ,	यापूर्वीही          ,	यापूर्वीह           
edchee                      ,	ईडीची               ,		चची                
colorado                    ,	कोलोरॅडो            ,	कोलोरोो             
tadaa                       ,	तडा                 ,	तााा                
mahamaargapryntcha          ,	महामार्गापर्यंतचा   ,	महामार््पप्िंंचच    
vetanavaadh                 ,	वेतनवाढ             ,	वेतााााा            
ghatkaa                     ,	घटका                ,		ाकका               
teeshun                     ,	तीसहून              ,	तीशून               
cheaanantar                 ,	च्यानंतर            ,	चिलणातर             
litinglaa                   ,	लिटिंगला            ,	लियिंगगल            
jharkhanda                  ,	झारखंड              ,		र्ांंा             
lagavale                    ,	लगावले              ,	लागवले              
uchalaaveet                 ,	उचलावीत             ,		चलववीत             
budbudyanbarobar            ,	बुडबुड्यांबरोबर     ,	बुबबब््यांबरोबर     
akhkhyaa                    ,	अख्ख्या             ,			््या              
aavriteet                   ,	आवृत्तीत            ,		ववितती             
umedvaransandarbhatil       ,	उमेदवारांसंदर्भातील ,		मेेवारांसेरर्ीततील 
parvaat                     ,	पर्वात              ,	पर्वात              
engines                     ,	इंजिन्स             ,		ंगिनेस             
sphotakaandwarey            ,	स्फोटकांद्वारे      ,	स्	ोककांं्ववारे     
shetamalachee               ,	शेतमालाची           ,	शेतामललची           
aamuchi                     ,	आमुची               ,		मूची               
satvaparikshaa              ,	सत्वपरिक्षा         ,	सा्वापररक््ा        
aaropeenvishayeechee        ,	आरोपींविषयीची       ,		रोपीववविययीी       
majalyavar                  ,	मजल्यावर            ,	मजालयावर            
index                       ,	इंडेक्स             ,		ं्ेक्स             
shodhalyaasaarakhaa         ,	शोधल्यासारखा        ,	शोळल्यााााररा       
pathvun                     ,	पाठवून              ,	पाववून              
aaramsheer                  ,	आरामशीर             ,		रमशिरर             
aajoobajoochya              ,	आजूबाजूच्या         ,		जूजाबूच्या         
shel                        ,	शेल                 ,	शेल                 
rampur                      ,	रामपूर              ,	रामपू               
sarkaarvirodhi              ,	सरकारविरोधी         ,	सरकारविरोोी         
sohalyasatheechaa           ,	सोहळ्यासाठीचा       ,	सोहल्यासाीीचा       
unta                        ,	उंट                 ,		ं्ाा               
kethmandu                   ,	काठमांडू            ,	केममंंूू            
doda                        ,	डोडा                ,		ो	ा                
shetkreasarkhi              ,	शेतकऱ्यासारखी      ,	शेतक्रीसारीी        
khaalaavat                  ,	खालावत              ,		ालवता              
hindusthaninvr              ,	हिंदुस्थानींवर      ,	हिं	ुस््ानिंंर      
poleesannee                 ,	पोलीसांनी           ,	पोलीसांनी           
prashnaababat               ,	प्रश्नाबाबत         ,	प्रश्नाबाबात        
shveeft                     ,	स्विफ्ट             ,	शिवि््              
sayansmadhye                ,	सायन्समध्ये         ,	सायंसमम्ये          
dhurala                     ,	धुरळा               ,		ुरला               
thewanyacha                 ,	ठेवण्याचा           ,		ेवण्याचा           
veebhagli                   ,	विभागली             ,	वि	ागलली            
torres                      ,	टॉरेस               ,	तार्ेेस             
naipuneasaathi              ,	नैपुण्यासाठी        ,	नापपुनेााीी         
dearborn                    ,	डिअरबोर्न           ,		िरबबर्न            
jhinhaaee                   ,	झिन्हाई             ,	शिन्हा              
rangehaat                   ,	रंगेहात             ,	रंगेहात             
urdoocha                    ,	उर्दूचा             ,		र्ूूचा             
aakrutya                    ,	आकृत्या             ,		ककतयय              
prantanchi                  ,	प्रांतांची          ,	प्रांतांची          
tinley                      ,	टिनलेय              ,	तिनले               
gondr                       ,	गोंडर               ,	जों््र              
potache                     ,	पोटाचे              ,	पोताचे              
muneennee                   ,	मुनींनी             ,	मुनीनेनी            
shivaseneteel               ,	शिवसेनेतील          ,	शिवसेननततील         
crawford                    ,	क्रॉफर्ड            ,	क्राव्रर्           
akola                       ,	अकोला               ,		कोला               
baghitala                   ,	बघितला              ,	बािितला             
kayadebhang                 ,	कायदेभंग            ,	कायाेेांग           
shetkaryannee               ,	शेतकऱ्यांनी        ,	शेतकरर्यांनी        
falandajanchya              ,	फलंदाजांच्या        ,		लाााजजंच्या        
upnam                       ,	उपनाम               ,		पना                
chennai                     ,	चेन्नई              ,	चेन्ना              
pikansandarbhaat            ,	पिकांसंदर्भात       ,	पिकांसंरर्ाात       
astitvachi                  ,	अस्तित्वाची         ,		स्तित्वााची        
bandhani                    ,	बांधणी              ,	बांानी              
aentibayotikeschi           ,	अँटिबायोटिक्सची     ,		ंतियममािययकसचची    
vijaywada                   ,	विजयवाडा            ,	विजयवााा            
paat                        ,	पात                 ,	पात                 
tyaanchyaabarobarachyaa     ,	त्यांच्याबरोबरच्या  ,	त्यांच्याबाबरबबरच्या
shishr                      ,	शिश्न               ,	शिश्र               
atlantic                    ,	अटलांटिक            ,		त्लांििक           
matakaa                     ,	मटका                ,	माका                
kesara                      ,	कैसर                ,	केसरा               
senasaarakhyaa              ,	सेनसारख्या          ,	सेनासारर्या         
polichi                     ,	पोळीची              ,	पोळीची              
infraprojects               ,	इन्फ्राप्रोजेक्ट्स  ,		ं्््रपपररजे््््    
dakhavilelya                ,	दाखविलेल्या         ,		ााविलेल्या         
apurva                      ,	अपूर्वा             ,		पुर्व              
pavadersarkhi               ,	पावडरसारखी          ,	पावेेराररी          
otuna                       ,	ओतून                ,		तुना               
pratisthanchi               ,	प्रतिष्ठानची        ,	प्रतिस्तांची        
sansthekadoon               ,	संस्थेकडून          ,	संस््ेककून          
purvekade                   ,	पूर्वेकडे           ,	पूर्वेकेे           
godfrey                     ,	गॉडफ्रे             ,	गो््रे              
linde                       ,	लिंडे               ,	लिं्े               
purvniyojit                 ,	पूर्वनियोजित        ,	पूर्णिियोजीत        
padtalniabhavi              ,	पडताळणीअभावी        ,	पातलािियाावी        
lilipaykshahee              ,	लिलीपेक्षाही        ,	लिलिपक्क्हाी        
rakhecha                    ,	राखेचा              ,	राेेचा              
equipment                   ,	इक्विपमेंट          ,		क््िपममंं          
waykos                      ,	वेकोस               ,	वायकोस              
madagaawaat                 ,	मडगावात             ,	माागववात            
chopra                      ,	चोप्रा              ,	चोप्रा              
prakarasathi                ,	प्रकारासाठी         ,	प्रकारासाीी         
wabag                       ,	वाबग                ,	वागाग               
tasha                       ,	ताशा                ,	ताशा                
baithkitil                  ,	बैठकीतील            ,	बाककीतील            
finnies                     ,	फिन्निश             ,		िन्नि              
prachaarasabhaa             ,	प्रचारसभा           ,	प्रचारााााा         
