kshama                      ,	क्षमा               ,	क्	मम               
shoes                       ,	शूज                 ,	शोसस                
ghrushneshvar               ,	घृष्णेश्वर          ,		ृ््ेश्वर           
paugandavastheteel          ,	पौगंडावस्थेतील      ,	पगगंवाास््तीी       
velaprasangi                ,	वेळप्रसंगी          ,	वेलाप्रसंगी         
rahta                       ,	राहता               ,	रहहता               
vasishtha                   ,	वसिष्ठ              ,	वसिि््ा             
amreli                      ,	अमरेली              ,	अममरली              
tatdichi                    ,	तातडीची             ,	तातदीची             
pratishthaana               ,	प्रतिष्ठाना         ,	प्रति	्	ाना         
sheell                      ,	शेल                 ,	शिल                 
hoowe                       ,	हो                  ,	हुवे                
lambnivar                   ,	लांबणीवर            ,	लां्ीीवर            
taren                       ,	तारेनं              ,	तरेेन               
shivsainikaasathee          ,	शिवसैनिकासाठी       ,	शिवसानिकााााी       
bharavila                   ,	भरविला              ,		रावला              
mosami                      ,	मोसमी               ,	मोसममी              
misalatat                   ,	मिसळतात             ,	मिसलतात             
georgetown                  ,	जॉर्जटाऊन           ,	जियरगेटटन           
banlan                      ,	बनलं                ,	बानल                
doghejan                    ,	दोघेजण              ,	दो	ेजन              
beverages                   ,	बेव्हरेजेस          ,	बेवररेेस            
tustin                      ,	तुत्सिन             ,	टस््िनन             
sthanikankadoon             ,	स्थानिकांकडून       ,	स्हानिकांकूून       
chadhavat                   ,	चढवत                ,	चााात               
sodvnaareyhi                ,	सोडवणारेही          ,	सोदवाारेही          
khalla                      ,	खाल्ला              ,	खालला               
vyaktincheakde              ,	व्यक्तींच्याकडे     ,	व्यक्तिच्ेेकेे      
pakiistanii                 ,	पाकिस्तानी          ,	पाकिस्त्ानी         
jhaadaghar                  ,	झाडघर               ,		ााारर              
prayoganchi                 ,	प्रयोगांची          ,	प्रयोगांची          
vegalee                     ,	वेगळी               ,	वेगली               
varshanchi                  ,	वर्षांची            ,	वर््ांची            
ahemdabadchya               ,	अहमदाबादच्या        ,	अहेमदाबादच्या       
sansarganchea               ,	संसर्गांच्या        ,	संसर्गांचे          
falandajichi                ,	फलंदाजीची           ,		ांााजीीच           
dhaamdhoom                  ,	धामधूम              ,	धामधूम              
penshandharkane             ,	पेन्शनधारकाने       ,	पेंशाधारकाने        
guntvnukdarannahee          ,	गुंतवणुकदारांनाही   ,	गुंतवूुकदारांनाही   
erie                        ,	एरी                 ,	आरी                 
instrumentne                ,	इन्स्ट्रुमेन्टने    ,		न्स्ट्ररममटंटन     
maagnyachi                  ,	मागण्याची           ,	माग््याची           
jhunj                       ,	झुंज                ,	खुंज                
ballia                      ,	बलिया               ,	बाल्ििय             
barnstable                  ,	बार्नस्टेबल         ,	बार्न्सटटल          
engraj                      ,	इंग्रज              ,		ंग्रजज             
sanhitanatargat             ,	संहितांतर्गत        ,	साहितनातर्गगत       
sambandhaanvishyichea       ,	संबंधांविषयीच्या    ,	संबंधधनवििियीचचय    
tantragyanachi              ,	तंत्रज्ञानाची       ,	तंंत्रग्यााची       
chaleesche                  ,	चाळीसचे             ,	चालीसचे             
moody                       ,	मुडी                ,	मूदी                
waachun                     ,	वाचुन               ,	वाचनन               
endoneshan                  ,	इंडोनेशियन          ,	आंदोनेशन            
upayogansathee              ,	उपयोगांसाठी         ,		पयोगांसाीी         
machine                     ,	मशीन                ,	माििने              
montes                      ,	मॉन्टेस             ,	मोन्ट्              
badya                       ,	बड्या               ,	बा्या               
shivagauri                  ,	शिवगौरी             ,	शिवागररी            
durgkhand                   ,	दुर्गखंड            ,	दुर्गांद            
rajeynvirodhat              ,	राजेंविरोधात        ,	राजींविरोोधात       
mulanpaiki                  ,	मुलांपैकी           ,	मुलांपुकी           
vijayapura                  ,	विजयपुरा            ,	विजयापुरा           
kalhai                      ,	कल्हई               ,	कल्हा               
baawalaan                   ,	बावलान              ,	बावला               
badashahane                 ,	बादशहाने            ,	बदााााने            
beedmadhye                  ,	बीडमध्ये            ,	बी	मध्ये            
balakancha                  ,	बालकांचा            ,	बालकांचा            
rajyananadaykheel           ,	राज्यांनादेखील      ,	राज्यानाााााीी      
eeshanyela                  ,	ईशान्येला           ,	आशियेेला            
sudradh                     ,	सुदृढ               ,	सुद्रध              
sasarche                    ,	सासरचे              ,	सासरचे              
railway                     ,	रेल्वे              ,	रेलवाय              
sweeng                      ,	स्विंग              ,	स्विंग              
foodworks                   ,	फूडवर्क्स           ,		ुआवर्क््           
soto                        ,	सोटो                ,	सोतो                
yapurvihee                  ,	यापूर्वीही          ,	यापूर्वीही          
jastan                      ,	जस्तं               ,	जस्तन               
bhaarateeyaanchyaa          ,	भारतीयांच्या        ,		ररतीयांच्याा       
gurfatlyaamule              ,	गुरफटल्यामुळे       ,	गुर्लतल्ययामुुे     
chand                       ,	चंद                 ,	चांद                
aambavamadheel              ,	आंबवमधील            ,	आंबावामधील          
nivadnukanparyantach        ,	निवडणुकांपर्यंतच    ,	निवाुुकांपर्यंतच    
gothawinyaasandarbhaateel   ,	गोठविण्यासंदर्भातील ,	गोखविि्यासंदर््ातीी 
machine                     ,	मशिन                ,	माचीने              
ustodani                    ,	ऊसतोडणी             ,	अस्तोदानी           
rugnaanvar                  ,	रुग्णांवर           ,	रुग्ाांवर           
tiberius                    ,	तिबेरियस            ,	टिबेरियुस           
scorpio                     ,	स्कॉर्पिओ           ,	स्कोर्पियो          
zopadpatti                  ,	झोपडपट्टी           ,	पोपापपट्टी          
kundaleet                   ,	कुंडलीत             ,	कुंदलीत             
chouras                     ,	चौरस                ,	चोरास               
fulpakhraala                ,	फुलपाखराला          ,	दुलपाखराला          
ishk                        ,	इश्क                ,	आश्क                
prithvichya                 ,	पृथ्वीच्या          ,	प्रिववीच्या         
saynsache                   ,	सायन्सचे            ,	सायनसचचे            
deshmukh                    ,	देशमुख              ,	देशमुख              
paadvi                      ,	पाडवी               ,	पाववी               
jhudapi                     ,	झुडपी               ,	धुदपपी              
dhawanar                    ,	धावणार              ,	धावाार              
munnabhai                   ,	मुन्नाभाई           ,	मुन्नााा            
mahaaraashtra               ,	महाराष्ट्र          ,	महारााात््          
mohimedarmyan               ,	मोहिमेदरम्यान       ,	मोहिमेदरम्यान       
jaljal                      ,	जळजळ                ,	जलजल                
thekedaranna                ,	ठेकेदारांना         ,		ेकेदारांना         
parismadheel                ,	पॅरिसमधील           ,	परिसमधील            
maujeykadun                 ,	मौजेकडून            ,	मजजेयककून           
chij                        ,	चीज                 ,	चिज                 
hurry                       ,	हरी                 ,	हुररी               
palatine                    ,	पॅलाताईन            ,	पालतीने             
taanksal                    ,	टांकसाळ             ,	तांकसाल             
thevanyasathee              ,	ठेवण्यासाठी         ,		ेवा्यासााी         
prakaranpaiki               ,	प्रकारांपैकी        ,	प्रकारांपककी        
saglikadich                 ,	सगळीकडीच            ,	सागलीकीीच           
chortyavar                  ,	चोरट्यावर           ,	चोर्ट्यावर          
mukkami                     ,	मुक्कामी            ,	मुक्कमम             
tupevadi                    ,	तुपेवाडी            ,	तुपेवाीी            
dhawnaar                    ,	धावणार              ,	धानाार              
atyawastha                  ,	अत्यवस्थ            ,	अत्यवस््ाा          
daagadujeenwar              ,	डागडुजींवर          ,	दगगाजीीींवर         
dantaale                    ,	दांताळे             ,	दाताले              
chakreevadalaachaa          ,	चक्रीवादळाचा        ,	चक्रीववददाचाा       
disnaar                     ,	दिसणार              ,	दिस्ाार             
jodgoline                   ,	जोडगोळीने           ,	जोगलोलीने           
asnareanmdhay               ,	असणाऱ्यांमध्ये     ,	अस्नररननमधयय        
yaprakaray                  ,	याप्रकारे           ,	याप्रकराय           
thaakarenche                ,	ठाकरेंचे            ,		ाकरेंचे            
nereparaanbalee             ,	नेरेपरांबली         ,	नेरेपरंबलली         
divalidekhil                ,	दिवाळीदेखील         ,	दिवालीदेखील         
sabhanmadhe                 ,	सभांमध्ये           ,	सााांमधे            
bodh                        ,	बोध                 ,	बोध                 
lucie                       ,	लुसी                ,	लुसीय               
chitrikarana                ,	चित्रिकरण           ,	चित्रकरराा          
petronet                    ,	पेट्रोनेट           ,	पेट्रोनेट           
enterprise                  ,	एंटरप्राईझ          ,		ंटरप्रिेस          
rashhiyana                  ,	रशियन               ,	राशियाना            
mallyaasaarakhyaansaathee   ,	मल्ल्यासारख्यांसाठी ,"	माल्ल्यासरर््याााास
"
bhaavahi                    ,	भावहि               ,		ावाही              
arthur                      ,	आर्थर               ,	अर्ूु               
prakaranchee                ,	प्रकारांची          ,	प्रकारांची          
midland                     ,	मिडलँड              ,	मियललं              
pathvoo                     ,	पाठवू               ,	पाववू               
shetkareannachaa            ,	शेतकऱ्यांनाचा      ,	शेतकरेेननााच        
prasarmadhyamacha           ,	प्रसारमाध्यमाचा     ,	प्रसारमाध्यमाााा    
wheeling                    ,	व्हिलिंग            ,	व्हिलिंग            
varshanteel                 ,	वर्षांतील           ,	वर्ाांतील           
cera                        ,	केरा                ,	सेरा                
tolnakaa                    ,	टोलनाका             ,	तोलनका              
illnoise                    ,	इलनॉइज              ,	आल्नोनस             
englandkadun                ,	इंग्लंडकडून         ,		ंग्लाककूून         
itaraannaahee               ,	इतरांनाही           ,	ततरांनाहही          
antarveditil                ,	अंतर्वेदीतील        ,	अंतरवेेतीील         
ugr                         ,	उग्र                ,	आगीआर               
metermadhye                 ,	मीटरमध्ये           ,	मेटरमध्ये           
wanapaal                    ,	वनपाल               ,	वननापल              
punjab                      ,	पंजाब               ,	पुंजब               
taamilnadut                 ,	तामिळनाडूत          ,	तामिलनाूू           
tibeeriyas                  ,	तिबेरियस            ,	तिबीरीयास           
hattiesburg                 ,	हॅटीसबर्ग           ,	हाट्ीससरर्ग         
yaapurveehee                ,	यापूर्वीही          ,	यापूर्वीी           
edchee                      ,	ईडीची               ,		ेची                
colorado                    ,	कोलोरॅडो            ,	कोलोराोो            
tadaa                       ,	तडा                 ,	तााा                
mahamaargapryntcha          ,	महामार्गापर्यंतचा   ,	महामारागग्रप्ंचचा   
vetanavaadh                 ,	वेतनवाढ             ,	वेतनावाध            
ghatkaa                     ,	घटका                ,	टटकाा               
teeshun                     ,	तीसहून              ,	तीशून               
cheaanantar                 ,	च्यानंतर            ,	चे	ानंतर            
litinglaa                   ,	लिटिंगला            ,	लिटिंगला            
jharkhanda                  ,	झारखंड              ,	धारखंंा             
lagavale                    ,	लगावले              ,	लगगवले              
uchalaaveet                 ,	उचलावीत             ,	चचललवीत             
budbudyanbarobar            ,	बुडबुड्यांबरोबर     ,	बुबबुु्यांारोबर     
akhkhyaa                    ,	अख्ख्या             ,	अखख्या              
aavriteet                   ,	आवृत्तीत            ,	आवरितीत             
umedvaransandarbhatil       ,	उमेदवारांसंदर्भातील ,		मेदवारांसादरर्ातील 
parvaat                     ,	पर्वात              ,	परवाात              
engines                     ,	इंजिन्स             ,		नगिननस             
sphotakaandwarey            ,	स्फोटकांद्वारे      ,	स्	ोटकांद्वारे      
shetamalachee               ,	शेतमालाची           ,	शेतामााची           
aamuchi                     ,	आमुची               ,	आमुची               
satvaparikshaa              ,	सत्वपरिक्षा         ,	सत्वपररकक्ाा        
aaropeenvishayeechee        ,	आरोपींविषयीची       ,	आरोपींविययीची       
majalyavar                  ,	मजल्यावर            ,	मजलल्यावर           
index                       ,	इंडेक्स             ,	आन्ेेक्स            
shodhalyaasaarakhaa         ,	शोधल्यासारखा        ,	शोधल्यासारखााा      
pathvun                     ,	पाठवून              ,	पावून               
aaramsheer                  ,	आरामशीर             ,	आरामीर              
aajoobajoochya              ,	आजूबाजूच्या         ,	आजूबाजूच्या         
shel                        ,	शेल                 ,	शेल                 
rampur                      ,	रामपूर              ,	रंमपर               
sarkaarvirodhi              ,	सरकारविरोधी         ,	सरकारारविोोी        
sohalyasatheechaa           ,	सोहळ्यासाठीचा       ,	सोहल्यासाीीचा       
unta                        ,	उंट                 ,	आंटट                
kethmandu                   ,	काठमांडू            ,	केममंंूू            
doda                        ,	डोडा                ,	दोदा                
shetkreasarkhi              ,	शेतकऱ्यासारखी      ,	शेटकररीसारखी        
khaalaavat                  ,	खालावत              ,	खाााात              
hindusthaninvr              ,	हिंदुस्थानींवर      ,	हिंदुस््ानंंीर      
poleesannee                 ,	पोलीसांनी           ,	पोलीसांनी           
prashnaababat               ,	प्रश्नाबाबत         ,	प्रश्नाबाबत         
shveeft                     ,	स्विफ्ट             ,	श्विहटट             
sayansmadhye                ,	सायन्समध्ये         ,	सायनसमध्ये          
dhurala                     ,	धुरळा               ,	धुरला               
thewanyacha                 ,	ठेवण्याचा           ,		ेवन्याचा           
veebhagli                   ,	विभागली             ,	वि	ागीी             
torres                      ,	टॉरेस               ,	टोरेस               
naipuneasaathi              ,	नैपुण्यासाठी        ,	नापुुेसाााी         
dearborn                    ,	डिअरबोर्न           ,		ायरर्नन            
jhinhaaee                   ,	झिन्हाई             ,	जिन्हाय             
rangehaat                   ,	रंगेहात             ,	रंगेहाा             
urdoocha                    ,	उर्दूचा             ,	रर्ूूचा             
aakrutya                    ,	आकृत्या             ,	आकृत्या             
prantanchi                  ,	प्रांतांची          ,	प्रांतांची          
tinley                      ,	टिनलेय              ,	टिन्ले              
gondr                       ,	गोंडर               ,	गों््               
potache                     ,	पोटाचे              ,	पोटाचे              
muneennee                   ,	मुनींनी             ,	मुनीनी              
shivaseneteel               ,	शिवसेनेतील          ,	शिवसेनेतील          
crawford                    ,	क्रॉफर्ड            ,	क्रववोर््           
akola                       ,	अकोला               ,	अकोला               
baghitala                   ,	बघितला              ,	बाितला              
kayadebhang                 ,	कायदेभंग            ,	कायदेेंग            
shetkaryannee               ,	शेतकऱ्यांनी        ,	शेतकरर्यांनी        
falandajanchya              ,	फलंदाजांच्या        ,	दलंाजाांच्या        
upnam                       ,	उपनाम               ,		पनमम               
chennai                     ,	चेन्नई              ,	चेन्ना              
pikansandarbhaat            ,	पिकांसंदर्भात       ,	पिकांसंदर््ात       
astitvachi                  ,	अस्तित्वाची         ,	अस्तित्वाची         
bandhani                    ,	बांधणी              ,	बांधाी              
aentibayotikeschi           ,	अँटिबायोटिक्सची     ,	आं्टिबायोटेकककची    
vijaywada                   ,	विजयवाडा            ,	विजयवााा            
paat                        ,	पात                 ,	पात                 
tyaanchyaabarobarachyaa     ,	त्यांच्याबरोबरच्या  ,	त्यांच्याबारोबबरच्या
shishr                      ,	शिश्न               ,	शिश्र               
atlantic                    ,	अटलांटिक            ,	अटटलाटििक           
matakaa                     ,	मटका                ,	माटाा               
kesara                      ,	कैसर                ,	केसरा               
senasaarakhyaa              ,	सेनसारख्या          ,	सेनासारख्याा        
polichi                     ,	पोळीची              ,	पोलीची              
infraprojects               ,	इन्फ्राप्रोजेक्ट्स  ,		न्््रापोोोर्ट्टट्  
dakhavilelya                ,	दाखविलेल्या         ,	दाखविलेल्या         
apurva                      ,	अपूर्वा             ,	अपुर्व              
pavadersarkhi               ,	पावडरसारखी          ,	पावेरसारखी          
otuna                       ,	ओतून                ,		तुना               
pratisthanchi               ,	प्रतिष्ठानची        ,	प्रतिस्ाांची        
sansthekadoon               ,	संस्थेकडून          ,	संस््ेककून          
purvekade                   ,	पूर्वेकडे           ,	पूर्वेकेे           
godfrey                     ,	गॉडफ्रे             ,	गो	ारी              
linde                       ,	लिंडे               ,	लिंदे               
purvniyojit                 ,	पूर्वनियोजित        ,	पूर्वियोजीत         
padtalniabhavi              ,	पडताळणीअभावी        ,	पा्तलनिााववी        
lilipaykshahee              ,	लिलीपेक्षाही        ,	लिलीपायक्ााही       
rakhecha                    ,	राखेचा              ,	रखखेचा              
equipment                   ,	इक्विपमेंट          ,	अक्यिपमंंटट         
waykos                      ,	वेकोस               ,	वायकोस              
madagaawaat                 ,	मडगावात             ,	मदागााातत           
chopra                      ,	चोप्रा              ,	चोप्र               
prakarasathi                ,	प्रकारासाठी         ,	प्रकारासााी         
wabag                       ,	वाबग                ,	वाबाग               
tasha                       ,	ताशा                ,	ताशा                
baithkitil                  ,	बैठकीतील            ,	बाककीतील            
finnies                     ,	फिन्निश             ,		िन्न्स             
prachaarasabhaa             ,	प्रचारसभा           ,	प्रचारसााा          
bobbii                      ,	बॉबी                ,	बोबबी               
paalee                      ,	पाळी                ,	पाली                
paddhatinchi                ,	पद्धतींची           ,	पद्धतींची           
newtonchya                  ,	न्यूटनच्या          ,	निवटननच्या          
papermadhe                  ,	पेपरमध्ये           ,	पापरमधेे            
rokhale                     ,	रोखले               ,	रोखले               
tyaamaagchee                ,	त्यामागची           ,	त्यामाागची          
mandirachi                  ,	मंदिराची            ,	मंदिराची            
antarvastrapasun            ,	अंतर्वस्त्रापासून   ,	अंतरव्तत््ापासून    
ratnagiri                   ,	रत्नागिरी           ,	रत्नागिी            
adrushy                     ,	अदृश्य              ,	अद्रशश              
dongararanganni             ,	डोंगररांगांनी       ,	दोंगरारांगाी        
hyaachpramaane              ,	ह्याचप्रमाणें       ,	ह्याच्यमररााे       
yagyik                      ,	याज्ञिक             ,	याग्यिक             
paripak                     ,	परिपाक              ,	परिपकक              
kutoombateel                ,	कुटूंबातील          ,	कुटुंबातील          
vibhagali                   ,	विभागली             ,	विआागली             
yaprakare                   ,	याप्रकारे           ,	याप्रकारे           
iova                        ,	आयोवा               ,	योव्हह              
bandhanee                   ,	बांधणी              ,	बंधानी              
nirnayasathi                ,	निर्णयासाठी         ,	निर्नयाासाीी        
paasoonach                  ,	पासूनच              ,	पासूनच              
venoo                       ,	वेणू                ,	वेनू                
jamat                       ,	जमत                 ,	जमात                
pundey                      ,	पुंदे               ,	पुं्ेय              
teancheakadundekhil         ,	त्यांच्याकडूनदेखील  ,	टेंचााककांंदेखील    
atywasth                    ,	अत्यवस्थ            ,	अत्यवस््            
glycols                     ,	ग्लायकोल            ,	ग्लायकल्स           
nigraha                     ,	निग्रह              ,	निग्रहा             
rajyamadhil                 ,	राज्यामधील          ,	राज्यामधील          
fandat                      ,	फंडात               ,		ंंात               
reno                        ,	रेनो                ,	रेनो                
bhaagavinyaasaathee         ,	भागविण्यासाठी       ,		गवविन्यासााी       
airtel                      ,	एअरटेल              ,	आर्टेल              
basto                       ,	बसतो                ,	बा््ोो              
shetakaryaanmulecha         ,	शेतकऱ्यांमुळेच     ,	शेताकरर्यांममुेचा   
jodagolicha                 ,	जोडगोळीचा           ,	जोदगोोलीचा          
dhornanchi                  ,	धोरणांची            ,	धोर्ाांची           
vibhagashi                  ,	विभागाशी            ,	वि	ागाशी            
shivray                     ,	शिवराय              ,	शिव्या              
vaparavar                   ,	वापरावर             ,	वापरावर             
madina                      ,	मदिना               ,	माििाा              
kottayam                    ,	कोट्टायम            ,	कोट्तयम             
jaanevaareemadhe            ,	जानेवारीमधे         ,	जानेवरीीमधे         
karyalayala                 ,	कार्यालयाला         ,	कार्यालयाला         
vellor                      ,	वेल्लोर             ,	वेलोरर              
dwivedi                     ,	द्विवेदी            ,	द्विवेदी            
adachan                     ,	अडचण                ,	अदाचं               
kumar                       ,	कुमार               ,	कुमार               
sarangpur                   ,	सारंगपूर            ,	सरंगपूर             
kantratdaaranmdhay          ,	कंत्राटदारांमध्ये   ,	कंत्राददारांमधयय    
asnareanvirodhata           ,	असणाऱयांविरोधात    ,	असननराेिवरोोोतत     
sansthlaavaril              ,	संस्थळावरील         ,	संस््ााावरील        
atyaachaaraachyaa           ,	अत्याचाराच्या       ,	अत्याचाराााच्या     
shrivastava                 ,	श्रीवास्तव          ,	श्रीवस्तताा         
hindusthaaninvr             ,	हिंदुस्थानींवर      ,	हिंदुस्ाानिंंवर     
melaavaa                    ,	मेळावा              ,	मेलावा              
tolnaakaa                   ,	टोलनाका             ,	तोलनाका             
asaveet                     ,	असावीत              ,	असवीत               
moteeram                    ,	मोतीराम             ,	मोटीमाम             
bhaashnacha                 ,	भाषणाचा             ,		ाशाााच             
gatatoon                    ,	गटातून              ,	गटततून              
ajaaminpatra                ,	अजामीनपात्र         ,	अजमजीनपत्र          
yaprakaarche                ,	याप्रकारचे          ,	याप्रकारचे          
namaskar                    ,	नमस्कार             ,	नामसककर             
vichaardharechey            ,	विचारधारेचे         ,	विचारधरेेेे         
allsec                      ,	ऑलसेक               ,	अललेेस              
chandel                     ,	चंदेल               ,	चांेे               
tankerne                    ,	टँकरने              ,	टनकेरने             
pahuneannee                 ,	पाहुण्यांनी         ,	पहहुननंंी           
aagau                       ,	आगाऊ                ,	आगाा                
yadav                       ,	यादव                ,	यादव                
igatpuri                    ,	इगतपुरी             ,	गगतपुरी             
noble                       ,	नोबेल               ,	नोब्ल               
mangalvedheapaasoon         ,	मंगळवेढ्यापासून     ,	मंगलववेेापााूू      
vahatukit                   ,	वाहतुकीत            ,	वाहतुकीत            
ushmank                     ,	उष्मांक             ,		शममंक              
canton                      ,	कॅन्टन              ,	कानटोन              
maartandrav                 ,	मार्तंडराव          ,	मारतंददररव          
tapamanavar                 ,	तापमानावर           ,	तापमााावर           
fundachya                   ,	फंडाच्या            ,	ुुंदाच्या           
scottsdale                  ,	स्कॉट्सडेल          ,	स्क्ट्स्साले        
mahapran                    ,	महाप्राण            ,	महाप्रा             
steshanmadhe                ,	स्टेशनमध्ये         ,	स्टेशांमधे          
gurakhee                    ,	गुराखी              ,	गुराीी              
seamec                      ,	सीमॅक               ,	सिमेक्              
kendraaparyantachea         ,	केंद्रापर्यंतच्या   ,	केंद्रपार््यांचचाा  
mattikatrey                 ,	माट्टिकात्रे        ,	मात्तिकतरेे         
ingraj                      ,	इंग्रज              ,	िंग्रज              
hei                         ,	हे                  ,	हे                  
phulpakharanchya            ,	फुलपाखरांच्या       ,	खुलपाखरांच्या       
kharchala                   ,	खर्चाला             ,	खरचााल              
shivarayancha               ,	शिवरायांचा          ,	शिवरायांचा          
notbandeechyaa              ,	नोटबंदीच्या         ,	नोटबबबीीचयया        
jard                        ,	जर्द                ,	जार्                
chitradurga                 ,	चित्रदुर्ग          ,	चित्रदुर्ाा         
vivaahaakherij              ,	विवाहाखेरीज         ,	विवाहाखेरीजज        
devasthananchya             ,	देवस्थानांच्या      ,	देवसस््ानाच्या      
kaydyat                     ,	कायद्यात            ,	कायद्यात            
sutargally                  ,	सुतारगल्ली          ,	सुटारग्ली           
igoor                       ,	इगोर                ,		गुर                
horton                      ,	हॉर्टन              ,	होर्टोन             
birudan                     ,	बिरूदं              ,	बिरुदान             
mulaanmadhalaa              ,	मुलांमधला           ,	मुलांमधला           
ophen                       ,	ओफेन                ,		ोेन                
sheytkreasaarkhee           ,	शेतकऱ्यासारखी      ,	शेयकट्रेाारखी       
guna                        ,	गुना                ,	गुना                
dvesh                       ,	द्वेश               ,	द्वेश               
buchanan                    ,	बुकानन              ,	बुचनन               
prakatala                   ,	प्रकटला             ,	प्रकातला            
prikshakendravr             ,	परीक्षाकेंद्रावर    ,	प्रिक्	केंद्रवरर    
praveshdwarapoorvi          ,	प्रवेशद्वारापूर्वी  ,	प्रवेशाद्रापपररववी  
biina                       ,	बिना                ,	बिनिया              
hiropanatee                 ,	हिरोपनती            ,	हिरोपनती            
kumbhamelyaansaathee        ,	कुंभमेळ्यांसाठी     ,	कुंममेल्यांसाााी    
pophalee                    ,	पोफळी               ,	पोलली               
atishahaaneancha            ,	अतिशहाण्यांचा       ,	अतिशाहाेंंचा        
sael                        ,	सॅल                 ,	सालल                
relations                   ,	रिलेशन्स            ,	रिलेशन््            
sarvekshanatoon             ,	सर्वेक्षणातून       ,	सर्वेक्	ाातून       
nirnyanmadhye               ,	निर्णयांमध्ये       ,	निर््यांमध्ये       
pachayala                   ,	पचायला              ,	पाचायला             
indoneshhiyan               ,	इंडोनेशियन          ,		ंदोनेशियनन         
veebhagla                   ,	विभागला             ,	वी	ागला             
sanshodhakanchya            ,	संशोधकांच्या        ,	संशोधकांच्या        
rufasane                    ,	रुफसने              ,	रुआासने             
paahuneani                  ,	पाहुण्यांनी         ,	पहहुनेनन            
belagaawakaraanmadhye       ,	बेळगावकरांमध्ये     ,	बेलागावकरााांमध्ये  
gelelya                     ,	गेलेल्या            ,	गेलेल्या            
sansthemadhye               ,	संस्थेमध्ये         ,	संस््ेमध्ये         
raabavinyaasaathi           ,	राबविण्यासाठी       ,	राबविि्यासााीी      
baachegaav                  ,	बाचेगाव             ,	बाेेगााव            
nasatm                      ,	नसतं                ,	नासतमम              
saran                       ,	सारण                ,	सरनन                
wishvaamitrachyach          ,	विश्वामित्राच्याच   ,	विश्वमित्राच्याच    
seed                        ,	सिड                 ,	सीद                 
banboona                    ,	बांबूना             ,	बननूनन              
sansthechya                 ,	संस्थेच्या          ,	संस््ेच्या          
gulabachi                   ,	गुलाबाची            ,	गुलाबाची            
khatyanchee                 ,	खात्यांची           ,	खात्यांची           
aayaland                    ,	आयलंड               ,	आयलंदद              
darmashikshanache           ,	धर्मशिक्षणाचे       ,	दर्मशिक्	ााचे       
buddhana                    ,	बुद्धांना           ,	बुद्धना             
khadyapadarthat             ,	खाद्यपदार्थात       ,	खा््याददद््ात       
pope                        ,	पोप                 ,	पोपे                
kshetraapoortey             ,	क्षेत्रापूरते       ,	क्शेत्रपररोत्ी      
yanchyapramanech            ,	यांच्याप्रमाणेच     ,	यांच्याप्रमााेच     
utsavatil                   ,	उत्सवातील           ,		त्सवातील           
wyaapaarudimaat             ,	व्यापारउदिमात       ,	व्यावररूीमाात       
vijhoon                     ,	विझून               ,	विहून               
kasotya                     ,	कसोट्या             ,	कासत्या             
penter                      ,	पेंटर               ,	पेंटर               
salamiveer                  ,	सलामीवीर            ,	सलामीवर             
beedar                      ,	बेडर                ,	बीदार               
taleane                     ,	तळ्याने             ,	टालेनन              
tikato                      ,	टिकतो               ,	टिकटो               
vyaaplelya                  ,	व्यापलेल्या         ,	व्यापलेल्या         
